2020-02-27 09:44:13.0020 0001 DEBUG (TCPChannelComponent.cs:109) 收到一个连接完成127.0.0.1:8888 ThreadId:4
2020-02-27 09:44:13.0020 0001 DEBUG (TCPChannelComponent.cs:109) 收到一个连接完成127.0.0.1:58947 ThreadId:10
2020-02-27 09:44:16.5903 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5929 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5929 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5933 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5933 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5933 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5933 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5933 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5933 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5933 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5944 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5944 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5944 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5944 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5944 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5944 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5953 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5953 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5953 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5953 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5953 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5953 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5953 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5964 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5964 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5964 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5964 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5964 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5964 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5973 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5973 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5973 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5973 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5973 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5984 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5984 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5984 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5996 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5996 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5996 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5996 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5996 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.5996 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6004 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6004 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6004 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6004 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6004 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6004 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6004 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6013 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6013 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6013 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6013 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6013 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6051 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6115 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6115 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6115 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6115 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6115 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6115 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6115 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6123 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
2020-02-27 09:44:16.6123 0001 DEBUG (TestMessageHandler.cs:14) 接收到一个消息：Name:张三 Number:1 Page:666
